time,eating,drinking,coughing,talking,throat_clearing,others
2024-09-04 14:16,7,0,0,9,9,17
2024-09-04 14:17,0,0,0,1,1,3
2024-09-04 14:20,1,0,2,2,0,8
2024-09-04 14:21,1,0,0,7,2,32
2024-09-04 14:22,0,0,0,0,0,42
2024-09-04 14:23,0,0,0,0,0,38
2024-09-04 14:24,4,1,0,4,4,22
2024-09-04 14:25,10,0,1,1,3,28
2024-09-04 14:26,2,0,0,0,0,1
2024-09-04 14:29,3,1,1,6,2,2
2024-09-04 14:30,7,0,0,4,3,15
2024-09-04 14:35,0,1,0,0,2,6
2024-09-04 14:36,5,0,0,2,0,34
2024-09-04 14:37,0,0,0,0,0,42
2024-09-04 14:38,0,0,0,0,0,43
2024-09-04 14:39,0,0,0,2,4,27
2024-09-04 14:40,8,2,0,8,6,12
2024-09-04 14:41,4,0,0,8,6,9
2024-09-04 14:46,0,0,0,1,3,4
2024-09-04 14:47,5,0,2,4,6,26
2024-09-04 14:48,2,1,1,5,4,26
2024-09-04 14:49,1,0,0,1,3,2
2024-09-04 14:50,2,1,0,7,7,18
2024-09-04 14:53,0,0,1,4,4,7
2024-09-04 14:54,0,0,0,2,1,37
2024-09-04 14:55,0,0,0,0,0,39
2024-09-04 14:56,0,0,0,0,0,40
2024-09-04 14:57,0,0,0,0,0,40
2024-09-04 14:58,0,0,0,0,0,40
2024-09-04 14:59,0,0,0,0,0,34
2024-09-04 15:00,0,0,0,0,0,31
2024-09-04 15:30,6,1,0,4,3,17
2024-09-04 15:31,4,0,3,3,6,21
2024-09-04 15:32,0,0,0,0,0,35
2024-09-04 15:33,0,0,0,0,0,36
2024-09-04 15:34,0,0,0,0,0,35
2024-09-04 15:35,0,0,0,0,0,34
2024-09-04 15:36,0,0,0,0,0,32
2024-09-04 15:37,0,0,0,0,0,13
2024-09-04 15:51,4,0,1,3,2,20
2024-09-04 15:52,3,0,0,1,1,30
2024-09-04 15:53,0,0,0,0,0,37
2024-09-04 15:54,0,0,0,0,0,37
2024-09-04 15:55,0,0,0,0,0,39
2024-09-04 15:56,0,0,0,0,0,37
2024-09-04 15:57,0,0,0,0,0,42
2024-09-04 15:58,0,0,0,0,0,42
2024-09-04 15:59,0,0,0,0,0,43
2024-09-04 16:00,0,0,0,0,0,43
2024-09-04 16:01,0,0,0,0,0,42
2024-09-04 16:02,0,0,0,0,0,23
2024-09-04 16:28,2,1,2,7,6,12
2024-09-04 16:29,0,1,1,3,0,13
2024-09-04 16:33,1,0,0,1,1,2
2024-09-04 16:34,1,4,0,1,1,12
2024-09-04 16:36,2,0,0,1,1,16
2024-09-04 16:37,3,1,0,4,3,27
2024-09-04 16:38,0,0,0,1,1,34
2024-09-04 16:39,0,1,0,2,1,30
2024-09-04 16:40,1,0,0,0,3,8
2024-09-04 16:58,0,0,0,0,1,0
2024-09-04 16:59,0,1,0,2,3,24
2024-09-04 17:08,0,0,0,2,1,8
2024-09-04 17:09,0,2,0,0,2,27
2024-09-04 17:10,0,0,0,0,1,5
2024-09-04 17:16,0,0,0,0,0,1
2024-09-04 18:51,0,0,0,0,0,3
2024-09-04 18:52,1,0,0,0,2,14
2024-09-04 19:14,0,0,0,0,0,1
2024-09-04 19:45,0,0,0,3,3,1
2024-09-04 20:00,0,0,0,0,2,1
2024-09-04 20:01,0,0,0,2,2,1
2024-09-04 20:10,0,0,0,2,6,7
2024-09-04 20:15,0,0,0,2,6,2
2024-09-04 20:16,0,0,0,3,17,4
2024-09-05 20:42,0,0,0,0,0,24
2024-09-05 20:43,0,0,0,0,0,30
2024-09-05 20:44,0,0,0,3,5,11
2024-09-05 20:47,0,0,0,0,1,0
2024-09-05 20:48,0,0,0,2,5,19
2024-09-05 21:02,2,0,0,3,7,18
2024-09-05 21:03,0,0,0,2,3,11
2024-09-05 21:11,0,0,0,4,3,19
2024-09-05 21:12,0,0,0,2,6,30
2024-09-05 21:13,0,0,0,3,4,19
2024-09-05 21:14,0,0,0,3,9,28
2024-09-05 21:15,0,0,0,3,2,14
2024-09-05 21:24,0,0,0,6,3,18
2024-09-05 21:25,0,0,0,0,2,0
2024-09-05 21:29,0,0,0,0,1,7
